# J, eta_p, CT, CP
0.00,0.0000,0.0997,0.0524
0.02,0.0505,0.0988,0.0508
0.05,0.1018,0.0978,0.0491
0.07,0.1539,0.0966,0.0475
0.10,0.2066,0.0952,0.0459
0.12,0.2594,0.0935,0.0445
0.14,0.3117,0.0915,0.0432
0.17,0.3627,0.0893,0.0420
0.19,0.4112,0.0869,0.0410
0.22,0.4571,0.0842,0.0401
0.24,0.5002,0.0814,0.0393
0.26,0.5403,0.0783,0.0385
0.29,0.5780,0.0750,0.0376
0.31,0.6115,0.0716,0.0367
0.34,0.6416,0.0679,0.0357
0.36,0.6684,0.0640,0.0346
0.38,0.6924,0.0600,0.0334
0.41,0.7140,0.0559,0.0321
0.43,0.7334,0.0518,0.0306
0.46,0.7500,0.0475,0.0290
0.48,0.7636,0.0432,0.0272
0.51,0.7740,0.0388,0.0253
0.53,0.7808,0.0343,0.0233
0.55,0.7836,0.0297,0.0210
0.58,0.7792,0.0249,0.0185
0.60,0.7620,0.0201,0.0159
0.63,0.7256,0.0152,0.0132
0.65,0.6536,0.0102,0.0102
0.67,0.4865,0.0051,0.0072
0.70,-0.0062,-0.0000,0.0044
