# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1528,0.1027,4932.805,2.355,86.651
4.1,0.05,0.0703,0.1526,0.1042,5001.409,2.388,86.545
8.1,0.10,0.1383,0.1525,0.1059,5083.436,2.427,86.473
12.2,0.14,0.2034,0.1524,0.1079,5181.123,2.474,86.433
16.3,0.19,0.2654,0.1524,0.1103,5292.978,2.527,86.424
20.3,0.24,0.3240,0.1524,0.1129,5420.492,2.588,86.429
24.4,0.29,0.3789,0.1524,0.1159,5562.175,2.656,86.429
28.4,0.34,0.4300,0.1524,0.1191,5716.535,2.729,86.407
32.5,0.38,0.4773,0.1522,0.1225,5879.843,2.808,86.322
36.6,0.43,0.5208,0.1519,0.1260,6048.372,2.888,86.131
40.6,0.48,0.5608,0.1513,0.1295,6216.154,2.968,85.775
44.7,0.53,0.5974,0.1502,0.1328,6374.988,3.044,85.197
48.8,0.58,0.6310,0.1487,0.1357,6516.671,3.111,84.312
52.8,0.62,0.6618,0.1464,0.1381,6629.272,3.165,83.039
56.9,0.67,0.6903,0.1434,0.1396,6701.605,3.200,81.309
61.0,0.72,0.7166,0.1394,0.1400,6723.230,3.210,79.036
65.0,0.77,0.7411,0.1343,0.1392,6682.217,3.191,76.158
69.1,0.82,0.7639,0.1281,0.1369,6569.616,3.137,72.644
73.2,0.86,0.7851,0.1208,0.1329,6380.954,3.047,68.476
77.2,0.91,0.8045,0.1123,0.1273,6113.248,2.919,63.690
81.3,0.96,0.8221,0.1030,0.1202,5771.717,2.756,58.378
85.3,1.01,0.8374,0.0928,0.1118,5365.311,2.562,52.645
89.4,1.06,0.8494,0.0821,0.1021,4902.977,2.341,46.577
93.5,1.10,0.8565,0.0710,0.0915,4392.918,2.098,40.256
97.5,1.15,0.8562,0.0595,0.0801,3843.337,1.835,33.735
101.6,1.20,0.8434,0.0477,0.0679,3260.946,1.557,27.067
105.7,1.25,0.8074,0.0358,0.0554,2657.674,1.269,20.306
109.7,1.30,0.7236,0.0238,0.0426,2046.946,0.977,13.500
113.8,1.34,0.5284,0.0118,0.0301,1444.421,0.690,6.708
117.9,1.39,0.0000,0.0000,0.0180,866.503,0.414,0.000
