# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1079,0.0388,119.312,0.142,9.786
0.7,0.02,0.0557,0.1058,0.0389,119.312,0.143,9.599
1.4,0.04,0.1089,0.1036,0.0390,120.058,0.143,9.404
2.1,0.06,0.1596,0.1014,0.0390,120.058,0.143,9.194
2.8,0.08,0.2079,0.0989,0.0389,119.312,0.143,8.972
3.5,0.10,0.2538,0.0963,0.0388,119.312,0.142,8.736
4.2,0.12,0.2973,0.0936,0.0387,118.566,0.142,8.496
4.9,0.14,0.3385,0.0908,0.0384,117.821,0.141,8.234
5.5,0.16,0.3772,0.0878,0.0381,117.075,0.140,7.967
6.2,0.18,0.4136,0.0847,0.0377,115.583,0.138,7.682
6.9,0.20,0.4476,0.0814,0.0372,114.092,0.137,7.388
7.6,0.23,0.4791,0.0780,0.0367,112.601,0.134,7.077
8.3,0.25,0.5080,0.0745,0.0360,110.364,0.132,6.757
9.0,0.27,0.5343,0.0708,0.0353,108.126,0.129,6.423
9.7,0.29,0.5577,0.0670,0.0344,105.889,0.126,6.076
10.4,0.31,0.5780,0.0630,0.0334,102.907,0.123,5.712
11.1,0.33,0.5950,0.0589,0.0324,99.178,0.119,5.338
11.8,0.35,0.6084,0.0546,0.0313,96.195,0.115,4.955
12.5,0.37,0.6176,0.0503,0.0300,92.467,0.110,4.564
13.2,0.39,0.6223,0.0459,0.0287,87.993,0.105,4.164
13.9,0.41,0.6215,0.0414,0.0273,83.518,0.100,3.754
14.6,0.43,0.6143,0.0368,0.0257,79.044,0.094,3.336
15.2,0.45,0.5995,0.0321,0.0241,73.824,0.088,2.914
15.9,0.47,0.5750,0.0274,0.0224,68.604,0.082,2.487
16.6,0.49,0.5383,0.0226,0.0207,63.384,0.076,2.055
17.3,0.51,0.4855,0.0178,0.0188,57.419,0.069,1.615
18.0,0.53,0.4108,0.0130,0.0168,51.453,0.062,1.179
18.7,0.55,0.3051,0.0082,0.0148,45.488,0.054,0.743
