# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1107,0.0381,1636.811,1.421,72.915
1.2,0.02,0.0511,0.1080,0.0379,1630.100,1.415,71.154
2.3,0.04,0.1001,0.1052,0.0377,1621.152,1.407,69.326
3.5,0.05,0.1470,0.1023,0.0375,1610.712,1.398,67.431
4.7,0.07,0.1918,0.0994,0.0372,1598.035,1.388,65.469
5.9,0.09,0.2344,0.0963,0.0369,1583.867,1.375,63.436
7.0,0.11,0.2748,0.0931,0.0365,1566.715,1.360,61.337
8.2,0.13,0.3131,0.0898,0.0360,1548.073,1.344,59.161
9.4,0.14,0.3490,0.0864,0.0355,1527.193,1.326,56.919
10.5,0.16,0.3826,0.0829,0.0350,1503.331,1.305,54.606
11.7,0.18,0.4138,0.0793,0.0344,1476.486,1.282,52.222
12.9,0.20,0.4425,0.0755,0.0337,1448.149,1.257,49.776
14.0,0.22,0.4685,0.0717,0.0330,1416.830,1.230,47.267
15.2,0.23,0.4917,0.0678,0.0322,1383.273,1.201,44.696
16.4,0.25,0.5119,0.0638,0.0313,1346.734,1.169,42.071
17.6,0.27,0.5289,0.0598,0.0304,1307.212,1.135,39.389
18.7,0.29,0.5423,0.0556,0.0295,1265.453,1.099,36.649
19.9,0.31,0.5518,0.0514,0.0284,1220.711,1.060,33.860
21.1,0.32,0.5570,0.0471,0.0273,1172.986,1.018,31.022
22.2,0.34,0.5572,0.0427,0.0261,1123.024,0.975,28.131
23.4,0.36,0.5517,0.0382,0.0249,1069.334,0.928,25.204
24.6,0.38,0.5395,0.0337,0.0236,1012.660,0.879,22.237
25.7,0.39,0.5194,0.0292,0.0222,953.750,0.828,19.243
26.9,0.41,0.4898,0.0246,0.0208,891.857,0.775,16.236
28.1,0.43,0.4485,0.0201,0.0193,827.727,0.719,13.220
29.3,0.45,0.3922,0.0155,0.0177,761.360,0.661,10.204
30.4,0.47,0.3162,0.0109,0.0161,692.755,0.601,7.197
31.6,0.48,0.2134,0.0064,0.0145,621.168,0.539,4.195
32.8,0.50,0.0716,0.0018,0.0127,547.344,0.475,1.197
