# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0930,0.0404,1.491,0.012,0.507
0.2,0.03,0.0581,0.0919,0.0409,1.491,0.013,0.498
0.3,0.05,0.1132,0.0906,0.0414,1.491,0.013,0.494
0.5,0.08,0.1654,0.0892,0.0418,1.491,0.013,0.485
0.6,0.10,0.2145,0.0876,0.0423,1.491,0.013,0.476
0.8,0.13,0.2608,0.0859,0.0426,1.491,0.013,0.467
0.9,0.16,0.3041,0.0841,0.0429,1.491,0.013,0.458
1.1,0.18,0.3447,0.0821,0.0431,1.491,0.013,0.449
1.2,0.21,0.3824,0.0800,0.0433,1.491,0.013,0.436
1.4,0.23,0.4174,0.0776,0.0433,1.491,0.013,0.423
1.5,0.26,0.4496,0.0751,0.0432,1.491,0.013,0.409
1.7,0.28,0.4792,0.0724,0.0430,1.491,0.013,0.396
1.8,0.31,0.5060,0.0695,0.0426,1.491,0.013,0.378
2.0,0.34,0.5301,0.0664,0.0421,1.491,0.013,0.360
2.1,0.36,0.5512,0.0631,0.0415,1.491,0.013,0.343
2.3,0.39,0.5693,0.0596,0.0406,1.491,0.013,0.325
2.5,0.41,0.5840,0.0559,0.0396,1.491,0.012,0.302
2.6,0.44,0.5951,0.0521,0.0385,1.491,0.012,0.285
2.8,0.47,0.6021,0.0481,0.0372,1.491,0.011,0.262
2.9,0.49,0.6044,0.0440,0.0358,1.491,0.011,0.240
3.1,0.52,0.6014,0.0397,0.0342,0.746,0.011,0.218
3.2,0.54,0.5920,0.0354,0.0325,0.746,0.010,0.191
3.4,0.57,0.5752,0.0310,0.0307,0.746,0.009,0.169
3.5,0.60,0.5493,0.0266,0.0288,0.746,0.009,0.147
3.7,0.62,0.5121,0.0221,0.0268,0.746,0.008,0.120
3.8,0.65,0.4608,0.0176,0.0247,0.746,0.008,0.098
4.0,0.67,0.3910,0.0131,0.0225,0.746,0.007,0.071
4.1,0.70,0.2968,0.0086,0.0202,0.746,0.006,0.049
4.3,0.72,0.1688,0.0042,0.0179,0.746,0.006,0.022
4.4,0.75,-0.0078,-0.0002,0.0155,0.746,0.005,0.000
