# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1446,0.0641,618.931,0.348,24.261
1.8,0.03,0.0685,0.1432,0.0653,630.862,0.354,24.034
3.6,0.06,0.1331,0.1417,0.0665,642.793,0.361,23.776
5.4,0.09,0.1938,0.1400,0.0677,653.979,0.367,23.487
7.2,0.12,0.2507,0.1380,0.0688,665.164,0.373,23.162
9.0,0.16,0.3039,0.1358,0.0698,674.858,0.379,22.797
10.8,0.19,0.3537,0.1334,0.0707,683.061,0.384,22.388
12.6,0.22,0.4001,0.1307,0.0715,690.518,0.388,21.934
14.4,0.25,0.4435,0.1277,0.0720,695.738,0.391,21.432
16.2,0.28,0.4839,0.1244,0.0723,698.721,0.392,20.871
18.0,0.31,0.5215,0.1207,0.0723,698.721,0.393,20.257
19.8,0.34,0.5566,0.1167,0.0721,696.484,0.391,19.590
21.6,0.38,0.5892,0.1124,0.0715,690.518,0.388,18.856
23.4,0.41,0.6195,0.1077,0.0706,682.315,0.383,18.069
25.2,0.44,0.6475,0.1026,0.0693,669.638,0.376,17.219
27.0,0.47,0.6731,0.0972,0.0677,653.979,0.367,16.316
28.8,0.50,0.6964,0.0915,0.0657,634.591,0.356,15.355
30.6,0.53,0.7173,0.0854,0.0633,611.474,0.343,14.337
32.4,0.56,0.7354,0.0791,0.0605,583.883,0.328,13.269
34.2,0.59,0.7506,0.0724,0.0573,553.309,0.311,12.153
36.0,0.62,0.7623,0.0655,0.0537,519.007,0.292,11.000
37.8,0.66,0.7699,0.0585,0.0499,481.722,0.271,9.817
39.6,0.69,0.7721,0.0513,0.0457,441.454,0.248,8.612
41.4,0.72,0.7675,0.0440,0.0412,398.204,0.224,7.388
43.2,0.75,0.7533,0.0367,0.0365,352.716,0.198,6.152
45.0,0.78,0.7250,0.0292,0.0315,304.246,0.171,4.906
46.8,0.81,0.6742,0.0218,0.0263,254.284,0.143,3.661
48.6,0.84,0.5831,0.0144,0.0209,202.085,0.113,2.424
50.4,0.87,0.4079,0.0072,0.0153,148.394,0.083,1.201
52.2,0.91,0.0004,0.0000,0.0097,93.212,0.053,0.000
